tipo,pregunta
sexual,A mi nunca me han hecho un chupeton en un lugar poco comun.
amor,Yo nunca he intentado emborrachar a alguien para liarme con esa persona.
sexual,Yo nunca he visto porno con otra persona.
sexual,Yo nunca me he grabado con alguien en la cama.
sexual,Yo nunca me he masturbado con una pelicula que no fuese pornografica.
sexual,Yo nunca he tenido un gatillazo.
sexual,Yo nunca lo he hecho con la regla.
sexual,A mi nunca me han meado encima.
sexual,Yo nunca lo he hecho disfrazado para satisfacer algun morbo.
amor,Yo nunca me he liado con el chico/a con quien estaba intentando ligar un amigo/a.
sexual,Yo nunca me lo he tragado.
sexual,Yo nunca me he excitado en un momento muy poco apropiado.
sexual,A mi nunca se me ha roto el condon.
sexual,Yo nunca he estado un año sin sexo tras haberlo hecho previamente.
humor,Yo nunca me he limpiado el culo tan fuerte que el papel se rompe y mi dedo indice acaba tocando mi ano.
sexual,Yo nunca he involucrado comida en el sexo.
sexual,Yo nunca lo he hecho en una fiesta.
sexual,Yo nunca me he tomado la pastilla del dia despues.
sexual,Yo nunca he tenido sexo por telefono.
humor,Yo nunca he tenido que correr a buscar mi ropa porque acababan de tocar el timbre de la casa.
sexual,Yo nunca he parado de liarme/tirarme a alguien para preguntarle a la persona como se llamaba.
amor,Yo nunca me he liado/tirado a el/la ex de un amigo/a.
amor,Yo nunca le he mentido sobre mis experiencias sexuales a mi nueva pareja.
sexual,Yo nunca he tenido que enseñar/a mi nunca me han tenido que enseñar como desabrochar un sujetador.
sexual,Yo nunca he tenido una fantasia sexual sobre un profesor/profesora.
sexual,Yo nunca he pillado a mis padres haciendolo.
sexual,Yo nunca me he sacado fotos desnudo/a.
amor,Yo nunca he llamado a alguien por un nombre equivocado mientras lo estabamos haciendo.
sexual,Yo nunca he/ a mi nunca me han lamido el culo.
sexual,Yo nunca lo he hecho en la ducha.
sexual,Yo nunca he usado el kamasutra para aprender o involucrar nuevas posiciones en la cama.
sexual,Yo nunca lo he hecho con alguien que era virgen.
amor,Yo nunca he mentido sobre ser virgen.
sexual,Yo nunca me he medido el pene.
amor,Yo nunca he borrado conversaciones subidas de tono para que mi pareja no me pillase.
sexual,Yo nunca me he liado/ tirado a alguien que no me parecia atractivo/a solo porque estaba desesperado/a.
sexual,Yo nunca he creido haber contraido una enfermedad de transmision sexual.
sexual,Yo nunca he fingidobg/exagerado un orgasmo.
amor,Yo nunca he tenido un follamigo/a.
humor,Yo nunca he salido de casa sin ropa interior.
sexual,Yo nunca me he liado/tirado a un extranjero/a.
sexual,Yo nunca he sentido envidia al ver los genitales de un amigo/a.
sexual,Yo nunca me he masturbado en casa de un amigo/a.
sexual,Yo nunca he hecho/a mi nunca me han hecho una mamada con condon.
sexual,Yo nunca he usado hielo en la cama.
sexual,Yo nunca he pedido que satisfacieran un fetiche mio pero sin exito.
sexual,Yo nunca he intentado esconder una ereccion en publico sin exito.
sexual,A mi nunca me ha puesto la violencia en la cama.
sexual,Yo nunca me he tirado/se han tirado un pedo en el acto.
sexual,Yo nunca le he roto la ropa a mi pareja al quitarsela.
amor,Yo nunca he intentado/querido que una pareja rompiese.
sexual,Yo nunca he hecho/me han hecho una cubana.
sexual,Yo nunca me he masturbado viendo hentai.
sexual,Yo nunca he aceptado hacer algo por dinero.
sexual,Yo nunca he metido/me han metido mas de 3 dedos.
sexual,Yo nunca lo he hecho en un coche y sono la bocina.
humor,A mi nunca me han tenido que enseñar una foto de con quien me habia liado porque no me acordaba.
humor,Yo nunca me he depilado los genitales pensando que iba a pinchar y acabe comiendome los mocos.
sexual,Yo nunca he querido unirme a dos amigos que estuviesen haciendolo.
amor,Yo nunca he hecho una lista de todas los tios/tias con las que me he liado.
amor,Yo nunca he conseguido liarme/tirarme a un amor platonico.
sexual,Yo nunca he tenido que usar mas de 2 condones en una misma ronda.
sexual,Yo nunca lo he hecho en todos los cuartos de mi/su casa.
sexual,Yo nunca he pedido por Chatroulette/Omegle que me enseñen el pene/las tetas.
amor,Yo nunca he tenido que usar paginas online o aplicaciones para ligar.
sexual,Yo nunca me he dado cuenta de que me estaban mirando mientras lo estaba haciendo.
sexual,Yo nunca me he liado con alguien presente.
amor,Yo nunca me he liado/tirado a alguien que me cayera mal.
sexual,A mi nunca se me han acabado encima del cuerpo.
humor,A mi nunca me han dado una hostia por estar tirando la caña.
amor,Yo nunca me he arrepentido de con quien habia perdido la virginidad.
humor,Yo nunca me he liado con alguien que acababa de vomitar.
sexual,A mi nunca me ha puesto alguien sin saber en su momento que esa persona tenia minimo 4 años menos que yo.
amor,Yo nunca he salido con alguien con quien sabia que no iba a estar mucho tiempo.
sexual,Yo nunca he hecho un 69.
sexual,Yo nunca lo he hecho con mis padres cerca.
amor,Yo nunca he ligado con alguien para poner celoso/a a una persona.
sexual,Yo nunca me he resbalado mientras lo hacia en la ducha.
amor,Yo nunca le he dicho a alguien "te quiero" solo para follar.
sexual,Yo nunca he hecho/a mi nunca me han hecho sangrar al meter dedos.
sexual,Yo nunca he echado un polvo malisimo.
sexual,Yo nunca me he masturbado al menos 5 veces en un dia.
sexual,Yo nunca he tenido un sueño mojado.
sexual,Yo nunca he pensado que el sexo oral era asqueroso.
sexual,Yo nunca he pensado que el sexo oral es mejor que la penetracion.
amor,Yo nunca he pensado en otra persona mientras estaba haciendolo con alguien.
sexual,Yo nunca lo he hecho con alguien que en mi opinion tenia el pene pequeño.
sexual,Yo nunca he usado condones con sabores.
sexual,Yo nunca he/a mi nunca se me han acabado dentro sin condon.
amor,Yo nunca me he guardado las fotos de mi ex desnudo/a despues de haber cortado con el/ella.
sexual,Yo nunca he usado/nunca han usado conmigo la marcha atras como metodo anticonceptivo.
amor,Yo nunca he sido complice de cuernos.
amor,A mi nunca me ha tirado la caña un familiar de mi novio/a.
amor,Yo nunca he mandado a la friendzone a alguien tras haberme liado con esa persona.
amor,Yo nunca me he alegrado por algo malo que le haya pasado a mi ex.
sexual,Yo nunca lo he hecho mas de 5 veces en un dia.
amor,Yo nunca me he liado con alguien de mi actual clase.
humor,A mi nunca me han hecho una cobra de verdad.
humor,Yo nunca me he arrepentido de un tatzuaje.
sexual,A mi nunca me ha dado mas morbo hacerlo fuera de casa que dentro.
sexual,Yo nunca me he quedado dormido/a durante el sexo.
amor,Yo nunca me he pillado por alguien mientras tenia novio/a.
amor,Yo nunca he cortado con un novio/a porque el sexo no me satisfacia.
sexual,Yo nunca he roto la cama al hacerlo.
sexual,A mi nunca me han llamado la atencion los vecinos por hacer demasiado ruido durante el sexo.
sexual,Yo nunca he/a mi nunca me han agarrado del pelo con fuerza en el sexo.
sexual,Yo nunca he aguantado menos de 10 minutos en la cama.
sexual,Nunca han aguantado menos de 10 minutos en la cama conmigo.
sexual,Yo nunca lo he hecho 3 o mas veces seguidas.
sexual,Yo nunca me he/a mi nunca me han despertado con una mamada/polvo.
sexual,Yo nunca me he masturbado mientras hacia una videollamada con alguien.
amor,Yo nunca me he creado una cuenta falsa en alguna red social para ver lo que hacia un/a ex sin que se diese cuenta.
amor,Yo nunca he conseguido liarme o salir con alguien con quien estaba previamente en la friendzone.
humor,A mi nunca me han pillado un chupeton mis padres.
amor,Yo nunca tendria una relacion con alguien presente si se diese el caso.
sexual,Yo nunca he visto porno de hermanastros/padrastros/madrastas.
sexual,Yo nunca he/a mi nunca me han hecho garganta profunda.
sexual,Yo nunca me he sentido mal conmigo mismo tras tocarme.
amor,Yo nunca le he seguido el rollo a un profesora/a que me estuviese tirando.
sexual,Yo nunca he pedido hacer un video porno pero sin exito.
amor,Yo nunca he fingido ser de otra nacionalidad para ligar.
sexual,Yo nunca he tenido sexo interracial.
amor,Yo nunca he estado frustrado porque no me satisfacia el sexo con una persona a quien queria.
sexual,Yo nunca me he masturbado en grupo.
amor,Yo nunca me he obsesionado entera o parcialmente con alguien tras liarme con esa persona una vez.
sexual,Yo nunca he lamido unos pezones.
sexual,A mi nunca me han lamido los pezones.
amor,Yo nunca he estado en la friendzone con alguien presente.
amor,Yo nunca he cortado con alguien para salir con otra persona.
amor,Nunca han cortado conmigo para salir con otra persona.
sexual,Yo nunca lo he hecho estando enfermo.
amor,Yo nunca me he querido tirar/tirado a mi mejor amigo/a.
sexual,Yo nunca he preferido los culos a las tetas.
amor,Yo nunca he tenido pique con el novio/a de mi ex.
amor,Yo nunca he pensado que me casaria con un ex o actual pareja.
sexual,Yo nunca he soñado que me liaba/tiraba a alguien y me he decepcionado al despertarme.
humor,Yo nunca me he liado con alguien que tenia muy mal aliento.
sexual,A mi nunca me han hecho daño al practicar sexo oral.
sexual,Yo nunca he tenia la paranoia de estar embarazada porque se me habia retrasado la regla.
sexual,Yo nunca he/a mi nunca me han hecho una mamada conduciendo.
amor,Yo nunca le he seguido el rollo a alguien que me estaba tirando solo para conseguir alcohol.
sexual,Yo nunca he visto un juguete sexual y he sentido intriga.
sexual,Yo nunca he tenido un sueño sexual sobre alguien presente/de la clase.
sexual,Yo nunca he sentido intriga por practicar sexo oral con alguien de mi mismo sexo.
sexual,Yo nunca he pensado que el sexo entre mismo sexo es o seria mejor que el sexo entre distintos sexos.
sexual,Yo nunca he sentido atraccion por algun familiar.
sexual,Yo nunca he chupado un pene/coño que supiera muy mal.
sexual,A mi nunca me ha interrumpido mi mascota mientras estaba haciendolo.
sexual,Yo nunca me he/nunca se han equivocado de agujero.
sexual,Yo nunca me he masturbado justo antes de hacerlo para durar mas.
sexual,Yo nunca he usado un video porno como modelo a seguir.
humor,Yo nunca me he vestido de cierta forma para atraer la atencion de alguien y paso de mi.
sexual,Yo nunca he alquilado una habitacion de hotel o motel solo para follar.
sexual,Yo nunca haria un trio con gente aqui presente.
sexual,Yo nunca he jugado a algun juego con el castigo de hacer un striptease.
humor,Yo nunca me he liado con alguien que besase realmente mal.
sexual,Yo nunca he usado el movil mientras lo estaba haciendo.
sexual,Yo nunca lo he hecho manteniendo 0 contacto visual con la otra persona.
sexual,A mi nunca me ha tirado para atras ver cuanto pelo pubico tenia la persona con la que lo iba a hacer.
humor,Yo nunca me he reido mientras lo estaba haciendo.
amor,Yo nunca he tirado la caña de broma y acabo saliendo mejor de lo que esperaba.
amor,Yo nunca me he liado/tirado al mejor amigo/a de mi ex.
sexual,Yo nunca he me hecho fotos sensuales desnudo/a para enviarselas a alguien.
sexual,Yo nunca he puesto/a mi nunca me han puesto un condon con la boca.
amor,Yo nunca he mentido en este Yo Nunca.
amor,Yo nunca me he tirado/liado a alguien que no he vuelto a ver en mi vida.
sexual,Yo nunca me he imaginado como serian las tetas/el pene de alguien presente.
humor,Yo nunca me habria tirado a alguien de clase a principio de curso pero ahora me da asco.
amor,Yo nunca he estado pillado por alguien presente sin haberselo dicho nunca.
humor,Yo nunca he cagado y me he limpiado el culo de pie.
humor,Yo nunca he meado sentado siendo tío.
humor,Yo nunca he meado de pie siendo tía.
sexual,Yo nunca me he corrido dentro accidentalmente.
sexual,Yo nunca he azotado con el pene a una tía en la cara.
sexual,Yo nunca he corregido a un/a tío/a en el sexo.
sexual,Yo nunca he sido corregido en el sexo por la otra persona.
humor,Yo nunca he intentado ligar demostrando la carrera que tengo.
humor,Yo nunca me he hecho 5 hidalgos en 3 horas.
humor,Yo nunca he ofrecido a un policía un cubata.
humor,Yo nunca me he dado pechazos contra el suelo.
sexual,Yo nunca me he contenido las ganas de reventar a uno sexualmente hablando.
humor,Yo nunca he tenido que salvar a mi colega de peleas.
sexual,Yo nunca me he corrido y me he sorprendido de todo lo que salió.
amor,Yo nunca me liaria con el/la de la izquierda.
humor,Yo nunca me he terminado una botella sólo.
sexual,Yo nunca he pensado que voy a ser padre accidentalmente.
humor,Yo nunca he pensado que la vida es una mierda.
humor,Yo nunca he comido pizza con piña.
humor,Yo nunca he potado más de 3 veces por alcohol.
humor,Yo nunca me he quedado 1 hora comiendo monchis y mirando a un punto fijo.
humor,Yo nunca he pensado que hoy se va a liar que flipas.
amor,Yo nunca me liaria con el/la de la derecha.
humor,Yo nunca he pillado un cubata de otro y he creído que tenía droga dentro.
sexual,Yo nunca he pensado que tengo una parafilia muy rara.
humor,Yo nunca me he comido un moco.
humor,Yo nunca me he reído de la caída de un niño chico.
humor,Yo nunca he pensado que uno de los presentes viste muy mal.
humor,Yo nunca he pensado que el rock metal es la hostia.
humor,Yo nunca me he reído de un policía en su cara.
amor,Yo nunca he dejado tirado a un/a colega por un/a tio/a.
humor,Yo nunca he tomado más de 10 chupitos en una noche habiendo tomado cubatas.
sexual,Yo nunca he visto "fake taxi".
sexual,Yo nunca he visto "public agent".
sexual,Yo nunca he visto zoofilia.
sexual,Yo nunca he tenido "miedo" a hacer una orgia.
sexual,Yo nunca he echado a mí colega de una habitación para follar.
sexual,Yo nunca he pedido un condón a mi amigo.
amor,yo nunca me he liado con alguien que nunca lo habría pensado
amor,yo nunca me he sentido atraido por un profesor o profesora
sexual,yo nunca he enviado un mensaje caliente a una persona equivocada
sexual,a mi nunca me han pagado por tener sexo
amor,yo nunca besaria a la persona que tengo a mi izquierda
humor,yo nunca he pensado que le caigo mal a laguien aqui presente
sexual,yo nunca he visto porno con otra persona
sexual,yo nunca he perdido la virginidad en un sitio distinto a una cama
humor,yo nunca he probado las setas
humor,yo nunca he copiado en un examen
sexual,yo nunca me he liado con dos personas a la vez
sexual,yo nunca me he liado con dos personas a la vez
humor,yo nunca me he tirado un pedo delante de todo el mundo
humor,yo nunca sido el ultimo en salir de una discoteca
amor,yo nunca me he liado con un amig@ por diversion
sexual,yo nunca he hecho o me han hecho una cuabana
humor,yo nunca no he podido beber porque tenia que conducir
humor,yo nunca he hecho sinpa
sexual,yo nunca he recibido sexo oral sin estar depilad@
humor,yo nunca he mentido sobre mi edad
sexual,yo nunca he pensado que alguien de los presentes es ninfoman@
humor,yo nunca me he colado en un sitio prohibido
sexual,yo nunca he hecho un intercambio de parejas
sexual,yo nunca me he equivocado de agujero
sexual,yo nunca he viajado mas de una hora para tener relaciones sexuales
amor,yo nunca he mentido sobre alguna experiencia sexual
humor,yo nunca me he dejado las llaves en casa
sexual,yo nunca he llamado a alguien por un mote durante el sexo
sexual,yo nunca me he masturbado en el coche
humor,yo nunca he vomitado por culpa de alcohol
sexual,yo nunca me he medido el pene
humor,yo nunca he pegado a alguien
humor,yo nunca he sido denunciado por mis vecinos
humor,yo nunca he pillado a mi herman@ teniendo sexo
amor,yo nunca he hecho una cobra
sexual,yo nunca me he masturbado en la ducha
sexual,yo nunca he practicado sexo en un lavabo portatil
sexual,yo nunca he tenido sueños eroticos con alguno de los presentes
humor,yo nunca me he caido al suelo en la calle
sexual,yo nunca he acabado follando y no me lo esperaba
sexual,yo nunca me he imaginado a alguien de presente follando
amor,yo nunca he tenido una relacion abierta
humor,yo nunca he vomitado encima de alguien
sexual,yo nunca he dudado de mi sexualidad
amor,yo nunca tendria sexo con la pareja de un amig@
humor,yo nunca he sido el borracho del grupo
sexual,yo nunca he rechazado un trio
humor,yo nunca he cambiado el nombre de un contacto para esconder quien era
sexual,yo nunca he ido a un hotel para tener relaciones sexuales
sexual,a mi nunca me han metido la lengua hasta la garganta
sexual,yo nunca he practicado sexo en la piscina/mar
sexual,yo nunca he practicado sexo en el baño de una discoteca
sexual,yo nunca he pensado que soy asexual
humor,yo nunca he estado una semana sin ducharme
sexual,yo nunca he visto a alguien teniendo sexo en un coche
humor,yo nunca no me he quitado los zapatos porque me olian los pies
sexual,yo nunca he puesto cachondo a alguien y le he dejado con las ganas
humor,yo nunca he huido de la policia
sexual,yo nunca me he tragado el semen de otra persona
sexual,yo nunca me he masturbado al aire libre
humor,yo nunca he sido multado por mear en la calle
sexual,yo nunca he visto tutoriales de caracter sexual
sexual,yo nunca haria un trio con dos personas aqui presentes
amor,yo nunca he mentido sobre mi para poder ligar
humor,yo nunca me han tenido que cuidar por estar borracho
sexual,yo nunca he practicado sexo en el instituto o universidad
sexual,yo nunca he practicado sexo en el baño
sexual,yo nunca perdi la virginidad en casa de un amig@
amor,yo nunca besaria a alguien aqui presente
sexual,yo nunca he tenido semen en la cara
sexual,yo nunca me he masturbado con porno
sexual,yo nunca he agarrado por el pelo a mi pareja durante el sexo
humor,yo nunca me he cagado en la bañera
amor,yo nunca he tenido celos de alguien aqui presente
humor,yo nunca he bebido en el colegio o instituto
humor,yo nunca me he rascado las partes en publico
humor,yo nunca he probado comida de perro
humor,yo nunca he pegado un moco debajo de la mesa
sexual,yo nunca he tenido corrida en el pelo
sexual,yo nunca he practicado sexo con un/una madurita o madurito
humor,yo nunca he bailado desnudo
sexual,yo nunca he probado hasta donde podia tragarme algo
amor,yo nunca he emborrachado a alguien para aprovecharme
sexual,yo nunca hge tenido fantasias sexuales con algun profesor
sexual,yo nunca he practicado sexo durante al menos 3 horas seguidas
amor,yo nunca me he liado con alguien que no me atraiga fisicamente
humor,yo nunca he salido a la calle sin ropa interior
humor,yo nunca he escuchado alguno de los presentes follando
sexual,yo nunca me he masturbado con la de foto de un amig@
sexual,yo nunca he pagado por sexo
sexual,yo nunca me he masturbado en casa de un amig@
sexual,yo nunca he practicado sexo durante el periodo
humor,yo nunca he fumado a escondidas en el instituto
sexual,yo nunca me he masturbado pensando en alguno de los presentes
sexual,yo nunca me he liado con mas de 10 personas en mi vida
sexual,yo nunca he mirado hentai
sexual,yo nunca he probado el semen
amor,yo nunca me he quedado con las de besar a alguno de los presentes
sexual,yo nunca he practicado sexo en frente de un espejo
sexual,yo nunca me han dado un cachete mientras tenia relaciones sexuales.
sexual,yo nunca he practicado sexo con alguien 4 años menos que yo
humor,yo nunca le he escupido a alguien sin querer
humor,yo nunca me h eolvidado de que tenia un examen
sexual,yo nunca he metido mano a mi pareja en el transporte publico
sexual,yo nunca he besado a alguien del mismo sexo
amor,yo nunca he tenido dos citas o mas el mismo dia
sexual,yo nunca he tenido conversaciones eroticas por telefono
humor,yo nunca he sido expulsado de una discoteca por ir demasiado borracho
sexual,yo nunca he dado un masaje con final feliz
humor,yo nunca he olido mis calcetines despues de quitarmelos
amor,yo nunca he mentido sobre ser virgen
humor,yo nunca me he liado despues de potar
amor,yo nunca he parado de follar para ir con colegas
amor,yo nunca he tenido un folla amig@
sexual,yo nunca me he masturbado con una fruta
humor,yo nunca me he salpicado al cagar
humor,yo nunca he terminado una goma de borrar
humor,yo nunca he fumado a escondidas en mi casa
sexual,yo nunca me han hecho una mamada mientras conducia
humor,yo nunca he llamado a alguien por whatsapp sin querer
humor,yo nunca he entrado en el baño del sexo opuesto
sexual,yo nunca he roto un condon
sexual,yo nunca me he dormido durante el sexo
humor,yo nunca he bebido alcohol por presion social
sexual,yo nunca he practicado sexo mientras miraba una peli porno
sexual,yo nunca me he liado con quien esta leyendo la pregunta
humor,yo nunca he sido rechazado por dos o mas personas en una noche
humor,yo nunca he conducido borracho
sexual,yo nunca me he masturbado y no me he lavado las manos despues
sexual,yo nunca me he masturbado en grupo
amor,yo nunca me he liado con el ex novi@ de un amig@
sexual,yo nunca he practicado sexo sin condon
amor,yo nunca me he liado con la expareja de alguno de los presentes
sexual,yo nunca he atado a mi pareja teniendo sexo
sexual,yo nunca he practicado sexo en el coche
sexual,yo nunca he follado con gente en casa
sexual,yo nunca he fingido un orgasmo
sexual,yo nunca me he masturbado en un sitio publico
humor,yo nunca he tenido resaca
humor,yo nunca he perreado en una discoteca
humor,yo nunca se me ha quitado el bañador por accidente
sexual,yo nunca he practicado sexo oral a alguien que acababa de tener relaciones sexuales
sexual,yo nunca he practicado sexo con dos personas distintas en 24h
sexual,yo nunca le he mirado el culo a alguno de los presentes
sexual,yo nunca he practicado sexo encima de un electrodomestico
sexual,yo nunca he experimentado con mi orientacion sexual
sexual,yo nunca he practicado sexo de acampada
sexual,yo nunca he pensado en probar el semen
amor,yo nunca he fardado de haber practicado sexo con alguien
amor,yo nunca me he avergonzado de haber tenido sexuales con alguien
humor,yo nunca he probado alguna droga dura
amor,yo nunca he pensado que la persona de al lado es muy sexy
humor,yo nunca me he depilado las partes intimas para luego no acabar follando
sexual,yo nunca he practicado sexo con alguien 4 años mayor que yo
humor,yo nunca he apagado la luz del pasillo y he ido corriendo a mi habitacion
humor,yo nunca me he reido en un funeral
humor,yo nunca he vomitado mientras besaba a alguien
humor,yo nunca he masturbado a mi perro
sexual,yo nunca me he masturbado con un personaje ficticio
sexual,yo nunca me he puesto cachondo por alguien de mi mismo sexo
sexual,yo nunca he escupido durante el sexo
sexual,yo nunca me he salpicado durante una paja
sexual,yo nunca me han pillado masturbándome
sexual,yo nunca he pensado en follarme a una prima
amor,yo nunca he llorado por mi ex
sexual,yo nunca me he salpicado en la cara al masturbarme
amor,yo nunca he fardado de mis músculos al ligar
amor,yo nunca he fardado de mi enorme polla al ligar
sexual,yo nunca he querido follarme a alguno de los presentes
sexual,yo nunca me he corrido en un mueble
sexual,yo nunca me he hecho una paja viendo Instagram
sexual,yo nunca me he hecho pasar por amigo gay para intentar pillar
sexual,yo nunca le he hecho una paja a alguno de los presentes
humor,yo nunca he creído que soy muy feo
sexual,yo nunca le he metido el dedo por el culo a alguien
humor,yo nunca he chupado el sobaco de otra persona
sexual,yo nunca he pensado en probar la regla
sexual,yo nunca he empotrado a la tía/tío y le he hecho sangre
humor,yo nunca me he alegrado de la muerte de alguien
humor,yo nunca he pensado que alguno de los presentes es penoso
humor,yo nunca he pensado que soy el puto amo
humor,yo nunca he pensado que alguno de los presentes huele muy mal
sexual,yo nunca me he roto el frenillo
sexual,yo nunca he preferido jugar a la play que follar
sexual,yo nunca he preferido una mamada a follar
amor,yo nunca he sido pagafantas para nada
sexual,yo nunca he pensado en follarme a una de 6 años menos
sexual,yo nunca he pensado en comerme una polla (los tíos) y un coño (las tías)
humor,yo nunca he soñado que mutilaba a gente
humor,yo nunca he pensado que alguno de los presentes es un fantasma
humor,yo nunca he pensado que alguno de los presentes es un lameculos
sexual,yo nunca he visto a mis padres follando
sexual,yo nunca he fantaseado con follarme a una vecina
sexual,yo nunca me he masturbado pensando en alguno de los presentes
humor,yo nunca he mentido en este yo nunca (si lo has hecho te haces un puto Hidalgo entero gilipollas)
sexual,yo nunca he tenido un sueño erótico con alguno de los presentes
sexual,yo nunca he pensado que alguno de los presentes la tiene como un camión
sexual,yo nunca he pensado que algunas de las presentes tiene un coño feo
sexual,yo nunca he pensado que alguno de los presentes la tiene muy chica
sexual,yo nunca me he llevado una desilusión (sexualmente hablando) con alguno de los presentes
sexual,yo nunca me han dejado con los huevos bien gordos
sexual,yo nunca he tenido el coño bien mojado solo liandome
sexual,yo nunca he dejado algún moratón durante el sexo
humor,yo nunca he meado en casa de alguno en un sitio distinto al baño
sexual,yo nunca he dicho de quedar más tarde para hacerme una paja
sexual,yo nunca he quedado más temprano para hacerme a una antes que otros
humor,yo nunca me he emborrachado a base de tinto de verano
humor,yo nunca me he quedado más de una hora fumado mirando a un punto fijo
amor,yo nunca he soñado con mi ex
humor,yo nunca he llorado por algún defecto físico
humor,yo nunca he llorado por sacar menos que un sobresaliente
sexual,yo nunca me he empalmado viendo culos en la clase
humor,yo nunca he sido cortito y no he pillado que estaban tonteando conmigo
sexual,yo nunca he rechazado follar por pura pereza
humor,yo nunca he inventado un "coño artificial" para masturbarme
sexual,yo nunca he mandado fotos de mi prepucio
sexual,yo nunca he tenido pelos entre los dientes después de chuparlo/a
humor,yo nunca he pensado que a alguno de los presentes se le daría muy bien ser puta/yigolo
humor,yo nunca he probado el pienso de gato/perro
sexual,yo nunca me han ofrecido un trio/cuarteto
humor,yo nunca me he comido más de 20000 kcal en un día
humor,yo nunca he visto karmaland
sexual,yo nunca he buscado japonesas/es en porno
sexual,yo nunca he buscado negras/os en porno
sexual,yo nunca me ha dado envidia los trabucos de los actores porno
sexual,yo nunca he fantaseado con que un actor/triz me follase muy duro
sexual,yo nunca he comido he comido cosas azucaradas para que mi semen supiese bien
sexual,yo nunca he buscado maneras para agrandar mi pene
sexual,yo nunca me he corrido sin que me tocasen abajo
sexual,yo nunca he pensado que estaba embarazada/he embarazado a alguien
sexual,yo nunca he practicado sexo anal
sexual,yo nunca he tenido que esconder un chupeton
amor,yo nunca he tenido celos de alguien aqui presente
amor,yo nunca he escondido mi ultima conexion en whatsapp
sexual,yo nunca me he masturbado mas de 4 veces en 24h
humor,yo nunca me he olido las manos despues de rascarme las partes intimas
sexual,yo nunca he practicado sexo en casa de un amigo o conocido
sexual,yo nunca le he mirado el culo a alguno de los presentes
humor,yo nunca he tropezado en publico
sexual,yo nunca he mentido sobre mi tamaño de polla
sexual,yo nunca me he imaginado el tamaño del pene de un amigo
sexual,yo nunca he enviado fotos en bolas
sexual,yo nunca he pensado que alguno de los presentes necesita un polvo urgentemente
sexual,yo nunca he recibido sexo oral sin estar depilad@
sexual,yo nunca me he liado con alguien al menos 3 años mayor
sexual,yo nunca he practicado sexo en la calle
humor,yo nunca he eructado mientras estaba besandome con alguien
amor,yo nunca me he liado con la pareja de alguno de los presentes
humor,yo nunca he ido borracho a clase
sexual,yo nunca he practicado sexo en el baño de una discoteca
sexual,a mi nunca me han pillado masturbandome
sexual,yo nunca me he masturbado con alguien al lado
amor,yo nunca he besado a dos o mas de los presentes
humor,yo nunca he evitado cagar durante dias cuando me iba a campamentos de viaje
sexual,yo nunca he tenido fantasias con algun profesor
humor,yo nunca le he chupado el pie a alguien
humor,yo nunca he insultado a un profesor
amor,yo nunca besaria a alguien aqui presente
sexual,yo nunca he enseñado las tetas en un concierto
sexual,yo nunca he pensado que soy muy bueno practicando sexo oral
sexual,yo nunca me he liado con alguien de mi mismo sexo
humor,yo nunca he pensado que alguno de los presentes no llegará a nada en la vida
humor,yo nunca he pensado que alguno de los presentes huele mal
humor,yo nunca he ido colocado a clase
sexual,yo nunca me he masturbado porque me aburria
sexual,yo nunca he practicado sexo en el bosque
